f1_mouth_open,f2_eyebrow_dist,f3_eye_open,f4_mouth_width,label
0.006556298057311628,0.2895263003529502,0.01276213401178448,0.6833523962696613,1
0.0029162097741818197,0.29471924818368567,0.3497347283766419,0.7213202979499691,1
0.0036904096700200095,0.29812438700087485,0.31383696183216475,0.7019911616787293,1
0.003340009017739786,0.2922837830252973,0.394994082511404,0.696451070546505,1
0.2230976523146862,0.29066532951760427,0.3767473705742818,0.7359513138686489,1
0.2404470361163398,0.28889396916294585,0.41951691644778183,0.7430406885942312,1
0.36658925826228983,0.2852425710086656,0.363090453991023,0.7431486584584176,1
0.36371831322364234,0.2910333657746935,0.35969597640779544,0.7514746198274039,1
0.3166281553771884,0.28418842766989144,0.3088056967866842,0.7537293876251814,1
0.244563952465472,0.28762446518543644,0.34798623141059887,0.7539672474077188,1
0.23588261476288527,0.2872474642564376,0.3419954891969629,0.7473312791652317,1
0.24239973497670997,0.2875524497667005,0.34807911268730596,0.7508378260476887,1
0.24481028864196067,0.29106885875713434,0.3267351647480872,0.7472071085866472,1
0.2390893235168154,0.2922193739459955,0.2855312102122701,0.7605881234090422,1
0.23208312036764972,0.294595411951251,0.03303569367469918,0.7119201610962436,1
0.2290479679101134,0.293897792351907,0.02103564099962981,0.71069360326134,1
0.22767445358866664,0.2752432878057203,0.018820358305629895,0.7227291164896175,1
0.2297255202121027,0.2809512261080898,0.01800469327176165,0.7285991293203871,1
0.23008943335455326,0.27451990123524495,0.004305600301127167,0.7357800062656159,1
0.2346762798072078,0.28917423165336953,0.022716257758006994,0.7284157046145164,1
0.21352387619500707,0.2762429635808477,0.0493345833401086,0.7190413951110917,1
0.21860621822293957,0.27986592837927166,0.03651282490534808,0.721773733765343,1
0.23075127947651686,0.28775092606900204,0.4982752613174476,0.7131786427527294,1
0.2003869520068359,0.2875198896268014,0.5052595708577315,0.6718851499986765,1
0.06133495562621481,0.3054465319355556,0.42389418556617076,0.5903198626370927,2
0.0011674361588371737,0.2948746824561503,0.44501463220711196,0.5893161897155806,2
0.004014331024101069,0.2978319516172742,0.17809139719555092,0.5729464580065902,2
0.00773096991480557,0.3062243090200886,0.48066348569144896,0.5748777190511499,2
0.009372429592788781,0.3008969579494816,0.4952320592097286,0.5711346375993008,2
0.0017347632452622882,0.29535826340222576,0.4762795395308446,0.54861577987414,2
0.004642170968802632,0.29549901633240644,0.5448252677067934,0.5501568823452535,0
0.00427294735806846,0.2939311893619367,0.5479675330963303,0.5538075313033072,0
0.0034505822004137405,0.29202501927007407,0.5442928528862497,0.5502634782635343,0
0.002284227368022858,0.29623248128518004,0.530091983446197,0.5546588390719338,0
0.0019336202980463789,0.2964588385074812,0.5443258024719628,0.5537332490445908,0
0.37791089470668,0.2976379032931974,0.35514328948902607,0.7229870501974848,2
0.33878632567060457,0.29378711221725856,0.2000139265391884,0.6904490044730603,2
